label_index,label_ar,treatment,baseline,baseline_mean_f1,treatment_mean_f1,mean_f1_delta,contrast
26,و,full_absolute_final_hidden,full_absolute_masked_mean,0.7419354838709676,0.7681606782730378,0.026225194402070162,final_hidden vs masked_mean
10,ز,full_absolute_final_hidden,full_absolute_masked_mean,0.38444330308737085,0.4096682698236527,0.02522496673628183,final_hidden vs masked_mean
3,ث,full_absolute_final_hidden,full_absolute_masked_mean,0.6972315900904887,0.7216502795450164,0.02441868945452763,final_hidden vs masked_mean
2,ت,full_absolute_final_hidden,full_absolute_masked_mean,0.6247870622331364,0.6461470440073787,0.021359981774242254,final_hidden vs masked_mean
6,خ,full_absolute_final_hidden,full_absolute_masked_mean,0.716893001926509,0.7374847374847375,0.020591735558228574,final_hidden vs masked_mean
22,ل,full_absolute_final_hidden,full_absolute_masked_mean,0.5910079950511964,0.611301088187921,0.02029309313672456,final_hidden vs masked_mean
27,ي,full_absolute_final_hidden,full_absolute_masked_mean,0.8748721262047058,0.892483660130719,0.017611533926013223,final_hidden vs masked_mean
9,ر,full_absolute_final_hidden,full_absolute_masked_mean,0.663253791943097,0.6630274163045308,-0.0002263756385662008,final_hidden vs masked_mean
20,ق,full_absolute_final_hidden,full_absolute_masked_mean,0.5815241052432704,0.5674683666570076,-0.014055738586262745,final_hidden vs masked_mean
4,ج,full_absolute_final_hidden,full_absolute_masked_mean,0.8605585834670735,0.843853523775936,-0.016705059691137447,final_hidden vs masked_mean
18,غ,full_absolute_final_hidden,full_absolute_masked_mean,0.7902813299232737,0.7701744451450274,-0.020106884778246292,final_hidden vs masked_mean
23,م,full_absolute_final_hidden,full_absolute_masked_mean,0.9811320754716982,0.9579357577705027,-0.023196317701195568,final_hidden vs masked_mean
13,ص,full_absolute_final_hidden,full_absolute_masked_mean,0.7060769507371449,0.6789535070785071,-0.027123443658637836,final_hidden vs masked_mean
7,د,full_absolute_final_hidden,full_absolute_masked_mean,0.6355147735102045,0.5862486137715496,-0.04926615973865489,final_hidden vs masked_mean
5,ح,full_absolute_final_hidden,full_absolute_masked_mean,0.7041801821613797,0.6500961140715867,-0.054084068089792936,final_hidden vs masked_mean
12,ش,full_absolute_final_hidden,full_absolute_masked_mean,0.7065016824052969,0.6136457447939679,-0.09285593761132893,final_hidden vs masked_mean
17,ع,full_absolute_final_hidden,full_absolute_masked_mean,0.7724608130495731,0.6790134827436232,-0.09344733030594998,final_hidden vs masked_mean
16,ظ,full_absolute_final_hidden,full_absolute_masked_mean,0.5707996583218345,0.464364724807881,-0.10643493351395356,final_hidden vs masked_mean
15,ط,full_absolute_final_hidden,full_absolute_masked_mean,0.37178339106192454,0.26335908100613986,-0.10842431005578468,final_hidden vs masked_mean
25,ه,full_absolute_final_hidden,full_absolute_masked_mean,0.8208616780045351,0.7097191697191697,-0.11114250828536543,final_hidden vs masked_mean
21,ك,full_absolute_final_hidden,full_absolute_masked_mean,0.6021885521885522,0.4871794871794872,-0.11500906500906494,final_hidden vs masked_mean
19,ف,full_absolute_final_hidden,full_absolute_masked_mean,0.5665991026301448,0.43471099131476487,-0.13188811131537992,final_hidden vs masked_mean
8,ذ,full_absolute_final_hidden,full_absolute_masked_mean,0.684357881923311,0.5343108979039497,-0.15004698401936134,final_hidden vs masked_mean
24,ن,full_absolute_final_hidden,full_absolute_masked_mean,0.5703592889775401,0.40142322097378275,-0.16893606800375732,final_hidden vs masked_mean
